Type,Operator,Registration
Douglas DC-3,KNILM,PK-AFW
Grumman G-21 Goose,KNILM,PK-AFS
Short S-23 (flying boat),Qantas,G-AEUH
Douglas DC-2,China National Aviation Corporation,45
Consolidated Liberator,British Overseas Airways,G-AGDR
deHavilland DH-86,Qantas,VH-USE
Short S-23 (flying boat),British Overseas Airways,G-AETZ
Consolidated B-24 Liberator,Military - U.S. Army Air Force,40-2370
Douglas DC-3,KNILM,PK-AFV
Douglas DC-3,Aktiebolaget Aerotransport,SE-BAF
Douglas DC-2-221,China National Aviation Corporation,31
Lockheed 14 Electra,Guinea Airways Limited,VH-ADY
Douglas DST-A-207A,United Air Lines,NC18146
Douglas DC-3-A-269,Northwest Orient Airlines,NC 21714
Douglas C-49E,Military - U.S. Army Air Forces,42-56093
Lockheed Hudson,Military - Royal Australian Air Force,A16-198
Lockheed Hudson,Military - Royal Air Force,N7253
Liore et Olivier H-246 Air Boat,Air France,F-AREJ
Siebel Si-204,Deutsche Lufthansa,
Lockheed 14 Electra,KLM Royal Dutch Airlines,PH-AIP
Short Sunderland,Military - Royal Air Force,W4026
Short Sunderland (flying boat),Military - Royal Air Force,W4026
Dewoitine D-342,Air France,F-ARIZ
Douglas C-47,China National Aviation Corporation,69
Douglas C-39-DO  (DC-2),Military - U.S. Army Air Forces,38-524
Sirkorsky 44A (flying boat),American Export Airlines,NC41880
Junkers JU-52/3m,Deutsche Lufthansa,D-AYGX
Douglas DC-3 / Boeing B-34,American Airlines / Military - USAF,NC16017
Handley Page HP-57 Halifax,Military - Royal Air Force,W7773
Douglas DC-3A,Western Airlines,NC16060
Junkers JU-52/3m,DLL,OY-DAL
Short S-26 (flying boat),British Overseas Airways,G-AFCK
Douglas C-54A,Military - U.S. Army Air Forces,42-32939
Consolidated C-87,Military - U.S. Army Air Forces,41-1708
Martin M-130 (flying boat),Pan American World Airways,NC14715
Douglas DC-3A,Pan American Grace Airlines,NC33645
Consolidated 32-3 Liberator II,British Overseas Airways,AL-591
Boeing XB-29,Private - Boeing Aircraft Company,41-3
Boeing B-314 (flying boat),Pan American World Airways,NC18603
Douglas C-53,China National Aviation Corporation,53
Douglas C-53,China National Aviation Corporation,49
Douglas C-47-DL,Military - Royal Australian Air Force,A65-2
Short S-23,Qantas,VH-ADU
Douglas DC-3,British Overseas Airways,G-AGBB
Douglas C-47A-DL,Military - U.S. Army Air Forces,42-23512
B-17C Flying Fortress,Military - U.S. Army Air Forces,
Lockheed Hudson VI,British Overseas Airways,FK-459
Lockheed Hudson VI,British Overseas Airways,FK-618
Consolidated Liberator B24 C,,A-L-523
Short Sunderland 3 (flying boat),British Overseas Airways,G-AGES
Douglas DC-3,American Airlines,NC16014
Consolidated B-24,Military - U.S. Army Air Forces,
Douglas C-47-DL,Military - U.S. Air Force,41-7733
Douglas C-53,China National Aviation Corporation,48
Junkers JU-52/3m,VASP,PP-SPD
Boeing B-17F / Boeing B-17F,Military - U.S. Army Air Forces,42-4621/42-6031
Douglas C-53D-DO,Military - U.S. Army Air Forces,42-68729
Douglas C-53,Military - U.S. Army Air Forces,42-6471
Douglas DC3-G102,American Airlines,NC16088
Consolidated B-24,Military - Royal Canadian Air Force,
Douglas DC-3,AB Aerotransport,SE-BAG
Douglas C-47-DL,Military - U.S. Army Air Forces,42-5677
,Military - Indian Air Force,
Douglas C-53,China National Aviation Corporation,59
Douglas C-47,China National Aviation Corporation,63
Lockheed L-18-56 Lodestar,Qantas,VH-CAB
Douglas C-47,China National Aviation Corporation,83
Douglas C-47A-60-DL,Military - U.S. Air Force,43-30742
Consolidated B-24 / Consolidated B-24,Military - U.S. Army Air Forces / Military - U.S. Army Air Forces,42-7183/42-7408
Junkers JU-52/3m,Deutsche Lufthansa,D-ADQW
Douglas DC-3,American Airlines,NC21767
Douglas C-47,China National Aviation Corporation,75
Junkers JU-52/3m,Deutsche Lufthansa,D-ABAS
Consolidated B-24 Liberator,Military - U.S. Army,
Pilgrim 100B,Pan American World Airways,NC742N
Junkers JU-52/3m,Deutsche Lufthansa,D-AOCA
Douglas DC-3,Deutsche Lufthansa,D-AAIG
Consolidated Liberator,Military - Royal Air Force,
Douglas C-47,China National Aviation Corporation,82
Douglas DC-3,China National Aviation Corporation,
Douglas C-47A-DL,Military - U.S. Army Air Forces,42-101035
Douglas C-47A,Military - U.S. Army Air Forces,42-100905
Douglas C-47A,Military - U.S. Army Air Forces,42-93095
Douglas C-47,China National Aviation Corporation,85
Douglas C-47,China National Aviation Corporation,71
Lockheed 10C Electra,Varig,PP-VAG
Douglas C-54A-DO (DC-4),Military - U.S. Army Air Forces,42-107470
Douglas C-47A-DK,Military - U.S. Army Air Forces,42-93038
Consolidated Catalina PB2Y-3R,Pan American Airways,7233
Douglas C-47A-DL,Military - U.S. Army Air Forces,42-23652
Sikorsky S-42 (flying boat),Pan American World Airways,NC823M
Consolidated PB4Y-1,Military - U.S. Navy,32271
Consolidated B-24H,Military - U.S. Air Force,42-50291
Douglas C-54A-DC (DC-4),Military - U.S. Army Air Forces,42-72171
Lockheed 18 Lodestar,Panair do Brasil,PP-PBI
Junkers JU52/3m,Deutsche Lufthansa,D-AUAW
C-47 Dakota DT-941,Military - Royal Netherlands East Indies Air Force,VH-RDK
Douglas C-47A-90-DL,U. S. Air Force,43-15738
Lockheed 18 Lodestar,Panair do Brasil,PP-PBH
Focke-Wulf FW 200,Deutsche Lufthansa,D-AMHL
Boeing TB-29A Super Fortress,Military - U.S. Air Force,44-69943
Douglas C-47,China National Aviation Corporation,101
Junkers JU-52/3m,Deutsche Lufthansa,D-AUSS
Short S-23 (flying boat),Qantas,VH-ABB
Junkers JU-52/3m,Deutsche Lufthansa,D-ADQV
Junkers JU-52/3m,Deutsche Lufthansa,D-ASHE
Consolidated B24H,Military - U.S. Army Air Forces,42-50347
Douglas DC-3,Trans Continental and Western Air,NC28310
,Military - U.S. Army Air Corps,42-52196
Douglas C-47A-DL,Military - U.S. Army Air Forces,43-15046
Ford 5-AT-B Tri-Motor,TACA,XH-TAN
Lockheed 18 LodeStar,BOAC,G-AGBW
Focke-Wulf FW 200,Deutsche Lufthansa,D-ARHW
Douglas C-47,China National Aviation Corporation,56
Douglas DC-3,Trans Continental and Western Air,NC17322
Avro 683 Lancaster,Trans-Canada Air Lines,CF-CMU
UC-64A Noorduyn Norseman,Military - U.S. Army Air Forces,44-70286
Douglas C-47,China National Aviation Corporation,77
Martin M-130 (flying boat),Pan American World Airways,NC14716
Douglas DC-3,American Airlines,NC25684
Douglas C-47,China National Aviation Corporation,70
Douglas C-47,China National Aviation Corporation,
Consolidated Liberator,Military - Royal Australian Air Force,A72-70
Stinson Model A,Australian National Airways,VH-UYY
Douglas C-47-DL,Military - U.S. Army Air Forces,41-18603
Douglas C-47 Dakota,Military -Royal Air Force,KG630
Douglas R4D-6,Military - U.S. Navy,50765
Lockheed 18 Loadstar,Navegacao Aerea Brasileira,PP-NAE
Curtiss C-46A,Military - United States Army Air Force,42-107377
Douglas DC-3,American Airlines,N18142
Douglas C-47A-90-DL,Military - U.S. Air Force,43-16011
Douglas C-47,China National Aviation Corporation,88
Douglas DC-3,Pennsylvania Central Airlines,NC25692
Douglas DC-3,Military - U.S. Navy,39067
Junkers JU-53/3m,,D-ANAJ
Douglas C-47-DL,Military - U.S. Army Air Forces,41-18451
Focke-Wulf FW 200,Deutsche Lufthansa,D-ASHH
B17G Flying Fortress,Military - U.S. Air Force,43-38856
Lockheed 18 Lodestar,Page Airways,NC33328
Douglas C-54E-DO (DC-4),Military - U.S. Army Air Forces,44-9043
Curtiss-Wright C-46D-CU,Military - U.S. Army Air Forces,44-77839
Avro Lancaster,Military -Royal Air Force,RF230
Douglas C-47B-DK,Military - U.S. Army Air Forces,43-49788
Douglas C-47B-dK,Military - U.S. Army Air Forces,44-76406
Douglas C-47,China National Aviation Corporation,81
de Havilland DH-86A,MaRobertson Miller Airlines,VH-USF
Consolidated LB-30A Liberator,Military -Royal Air Force,JT985
,Military - Royal Indian Air Force,
Consolidated LB-30A Liberator,Military -Royal Air Force,JT982
Douglas C-47,Military - South African Air Force,6812
Douglas DC-3-201C /  Army A-26,Eastern Air Lines / Military - U.S. Army Air Corps,NC25647
North American B-25D bomber,Military - U.S. Army Air Forces,43-0577
Boeing 247D,Lineas Aereas Mineras,XA-DUY
Sikorsky S-43 (flying boat),Pan American World Airways,NC15066
Douglas DC-2-243,Mexicana,XA-DOT
Douglas DC-3,Eastern Air Lines,NC33631
Douglas C-47A,Military - Royal Australian Air Force,A6556
Douglas C-47B-DK,Military - U.S. Army Air Forces,45-1011
Douglas C-47B-5-DK,Military - Royal Australian Air Force,A65-61
Curtiss C-46D,Military - United States Army Air Force,42-101183
Lockheed 18 Lodestar,National Airlines,NC18199
Consolidated LB-40-A Liberator,Military -Royal Air Force,
Short Stirling IV,Military - Royal Air Force,LJ668
Consolidated LB-30-A Liberator,Military -Royal Air Force,KL595
Curtiss-Wright C-46F-CU,Military - U.S. Army Air Forces,44-78591
Douglas C-47B,Military - Royal Australian Air Force,A65-83
Douglas C-47,China National Aviation Corporation,
Douglas C-47B,Military - Royal Air Force,KJ957
Faucett F-19,Faucett,OB-PAG-139
Curtiss-Wright C-46A-CK,Military - U.S. Army Air Forces,43-47228
Douglas C-47A-DK,Military - U.S. Army Air Forces,42-93041
Douglas C-54G,Military - U.S. Army Air Forces,45528A
Martin PBM-3S  / Martin PBM-5,Military - U.S. Navy / Military - U.S. Navy,01710 / 69113
Douglas C-47A-DL,Military - U.S. Army Air Forces,42-24363
Boeing B-17G,Military - U.S. Army Air Forces,43-9197
Short Stirling,Military -Royal Air Force,PJ950
Douglas C-54,Military - U.S. Army,
Douglas C-47 Dakota-DK,Military - Royal Australian Air Force,A6554
Consolidated LB-30A Liberator,Military -Royal Air Force,KH126
Consolidated LB-30A Liberator,Military -Royal Air Force,KH125
Five Grumman TBM Avengers,Military - U.S. Navy,
Douglas C-47,Military - U.S. Army,
Douglas C-47B,Military - Royal Air Force,KN413
Lockheed 18 Lodestar,Air France,F-BALV
Douglas DC-3,Eastern Air Lines,NC18l23
Douglas DC-3,Pennsylvania Central Airlines,N21786
Douglas C-47,Military - Chinese Air Force,
Douglas C-47 Dakota,Military -Royal Air Force,KN557
Douglas DC-3-201E,Eastern Air Lines,NC19970
Douglas DC-3 Dakota,Mililtary - Royal Canadian Air Force,
Douglas C-47B,Military - Royal Air Force,KN500
Douglas DC-3-194H,United Air Lines,NC25675
Douglas C-47,Military - U.S. Army Air Forces,
Consolidated 32-2 Liberator II,British Overseas Airways,G-AGEM
Douglas DC-3-227B,American Airlines,NC21799
Junkers JU-52/3m,Ceskoslovenske Aerolinie,OK-
Douglas DC-3 (C-47DL),Australian National Airways,VH-AET
,Military - Chinese Air Force,
,China National Aviation Corporation,139
Douglas C-47B,Military - U.S. Army Air Forces,45-1085
Avro 691 Lancastrian 1,British Overseas Airways /Qantas,G-AGLX
Vickers Wellington bomber,Military - Royal British Navy,HE-274
,,
,TACA,AN-ACC
Douglas C-47A,Military - Royal Air Force,FZ559
PBY4-2 Privateer / PB4Y-2 Privateer,Military U.S. Navy / Military - U.S. Navy,
Douglas DC-3,Viking Air Transport,NC53218
Junkers JU-52/3m,DNL,LN-LAB
Douglas C-54-DO (DC-4),Military - U.S. Army Air Forces,44-9078
Douglas C-47 Dakota,Military -Royal Air Force,KG747
Douglas C-54D-DC (DC-4),Military - U.S. Army Air Forces,43-17231
Douglas C-47B,Military - Royal Air Force,KJ918
Junkers Ju-52/3m,Air France,F-BAJS
Boeing B17G,Military - U.S. Army Air Forces,43-39136
Lockheed L-049 Constellation,Trans Continental and Western Air,NC86513
Curtiss C-46,Central Air Transport,
Curtiss C-46D-10-CU,ANDESA,HC-SCA
Douglas C-47,Military - U.S. Army Air Corps,
Boeing B-17G / Boeing B-17G,Military -  (2) U.S. Army Air Forces,4485624/4485626
Douglas C-47 Dakota,Military -Royal Air Force,KN585
Douglas C-47A-10-DK,British European Airways,G-AHCS
Lockheed 18-56 Lodestar,AtlantiCentral Airlines,
Douglas C-47A,BOAC,G-AGHT
Avro 691 Lancastrian 1,British Overseas Airways,G-AGMF
Douglas C-47-DL,Trans Luxury Airlines,N51878
Avro Anson,Misrair,SU-ADJ
Douglas DC-3 (C-53D-DO),Air France,F-BADB
Douglas DC-3,Air France,F-BAXD
Douglas DC-3 (C-47-A5-DL),Trans-Luxury Airlines,NC57850
Avro 685 York I,British South American Airways,G-AHEW
Douglas C-47A,Mt. McKinley Airfreight,
Douglas C-47A Dakota,Military - Royal Canadian Air Force,962
Douglas C-47-DL,Sabena,OO-AUR
Douglas DC-3 ( C-47-DO),AVIANCA,C-108
Douglas DC-4-1009,Sabena,OO-CBG
Avro Lancaster,Military -Royal Air Force,NX690
,China National Aviation Corporation,
Douglas C-47B-25-DK,Military - Royal Air Force,KN414
Douglas DC-3A-228D,Panair do Brasil,PP-PCH
Douglas C-54E-5-DO,American Overseas Airlines,NC90904
Avro 685 York 1,Military -Royal Air Force,MW125
Fairey Firefly MK1,Military - Royal Netherlands Naval Air Service,PP526
Douglas DC-4,United Air Lines,N30051
Junkers Ju-52/3m,Air Ocean,F-BCAA
Douglas DC-3,National Air Transport Services,NC38942
Douglas C-47B,Military - Royal Air Force,KN236
Junkers JU-52/3m,Socotra,F-BCHD
AAC-1 Toucan,CTA LanguedoRoussillon,F-BCAD
Douglas DC-3 (C-53D-DO),United Air Lines,N19947
Douglas C-53D-DO (DC-3),Western Airlines,NC18645
Douglas DC-3,Empressa Commun. AÃ©reas de Veracruz,XA-FOZ
Douglas C-47A-90 DL (DC-3),KLM Royal Dutch Airlines,PH-TBW
Douglas C-47,Military - U.S. Army Air Forces,
Douglas DC-3 (C-47A-90-DL),Lineas AÃ©reas Costarricenses  LACSA,RX-76
Vickers 620 Viking 1,Fuerza AÃ©rea Argentina,T-1
Lisunov Li-2,Aeroflot,
Curtiss-Wright R5C-1,Military - U.S. Marine Corps,39528
Curtiss-Wright C-46F-CU,Military - U.S. Army Air Forces,44-78604
Douglas DC-3 (C-47-B-1-DK),Far Eastern Air Transport,PI-C-1
Douglas C-47A,Winged Cargo Inc.,NC88876
Avro  685 York I,FAMA (Argentina),LV-XIG
Douglas DC-3 ( C-53D-DO),Western Airlines,NC45395
Curtiss C-46, C-47, DC-3,China National Aviation Corporation,115
Douglas DC-3 (C-50A-DO),American Airlines,N15577
Douglas C-47A,Kansas City Southern Skyways,NC58024
Lockheed 049 Consellation,Trans Continental and Western Air,NC86505
Sikorsky S-43B (flying boat),Panair do Brasil,PP-PBN
Douglas DC-3,Nationwide Air Transport,N50046
Douglas DC-4,China National Aviation Corporation,XT-T51
Douglas DC-4 (C-54A-DO),Far Eastern Air Transport,PI-C100
Douglas C-47A-1-DK,British Overseas Airways,G-AGJX
Douglas DC-3,Eastern Air Lines,NC88872
Lockheed C-60 Lodestar,Military - Mexican Air Force,60-03
Douglas DC-3,China National Aviation Corporation,
Douglas C-47 / Douglas DC-3,Spencer Airways / Ceskoslovenske Aerolinie,VP-YFD/OK-WDB
Douglas C-47A,Philippine Air Lines,PI-C12
Douglas C- C47A-30DK,KLM Royal Dutch Airlines,PH-TCR
Curtiss C-46,China National Aviation Corporation,
Douglas DC-3C,Air France,F-BAXQ
Douglas DC-3,International Air Freight,NC54451
Douglas C-54B-15-DO,Aerovias Cuba International,NC44567
Curtiss C-46E,Slick Airways,NC59486
Savoia-Marchetti SM-95,Military - Corrieri Aerei Militari,I-ABQH
Douglas DC-4,AVIANCA,C-114
Douglas C-47,Military - Chinese Air Force,
Douglas C-47B,Military - Royal Air Force,KK120
Douglas C-47-DL,VIARCO,C-400
Douglas C-47B,Military - Royal Air Force,KK122
Douglas DC-3 (C-47A-90-DL),Air France,F-BAXO
Lockheed 18 Lodestar,TACA,YS-28
Avro York C1,Military - Royal Air Force,MW198
Douglas C-47A,Linea Aeropostal Venezolana,YV-C-ALO
Avro 685 York I,British South American Airways,G-AHEZ
Douglas DC-3 (C-47DL) /Vultee BT-13,Delta Air Lines,N49657 / N55312
Douglas C-47,TAM (Peru),
Lockheed 18 Loadstar,Trans Canada Air Lines,CF-TDF
Lockheed L-049 Constellation,Trans Continental and Western Air,NC86508
Douglas DC-3,Flugefelag,TF-ISI
Douglas C-54D-DC (DC-4),Military - U.S. Army Air Forces,42-72553
Douglas C-54B,United Air Lines,NC30046
Douglas C-54B-15-DO,Eastern Air Lines,NC88814
Junkers Ju-52,Air France,F-BANB
Avro Lancaster,Flota AÃ©rea Mercante Argentina,LV-ACS
Douglas DC-4 (C-54-DO),Pennsylvania Central Airlines,NC88842
Lockheed 049-46-21 Constellation,Pan American World Airways,NC88845
Junkers JU-52/3m,Air France,F-BALF
Douglas DC-3,Burke Air Transport,NC79024
Junkers Ju-52/3m,Aero Cargo,F-BCHH
Avro 685 York,British Overseas Airways,G-AGMR
Avro 685 York I,Flota AÃ©rea Mercante Argentina,LV-XIH
Douglas C-47,Military - Chinese Air Force,
Avro 691 Lancastrian 3,British South American Airways,G-AGWH
Consolidated PBY-5A Catalina,Military - U.S. Navy,34032
Douglas DC-3C,American Airlines,NX88787
Douglas DC-3F,AB Aerotransport,SE-BAY
Lisunov Li-2,Transporturile Aeriene Romano-Sovietice,YR-TAV
Curtiss C-46E,Slick Airways,NC59488
Short Sandringham 5 (flying boat),British Overseas Airways,G-AHZB
Short Sandringham (flying boat),Norwegian Airlines,LN-IAV
Douglas DC-4,American Airlines,NC90432
Douglas DC-3,Stratofreight,
Bristol 170 Freighter I,Societe Aerienne du Littoral,F-BCJN
Douglas DC-6,United Air Lines,NC37510
Douglas DC-4A,Pan American World Airways,NC88920
Douglas DC-4-1009,AB Aerotransport,SE-BBG
Douglas C-47B,Military - Royal Indian Air Force,M1965
Douglas DC-3,Philippine Air Express,
Douglas DC-6,American Airlines,NC90741
Junkers Ju-52/3m,SociÃ©tÃ© Auxiliare de Navigation AÃ©rienne,F-BDYH
Bristol 170 Freighter XI,Trafik-Turist-Transportflyg,SE-BNG
Lockheed L-049-46-26 Constellation,Trans Continental and Western Air,NC86507
Lisunov Li-2,TARS,YR-TAI
Douglas DC-3,Columbia Air Cargo,NC95486
Douglas DC-3,JAT Yugoslav Airlines,YU-ABC
Douglas DC-3,China National Aviation Corporation,
Douglas C-47B,Military - U.S. Air Force,43-48736
Douglas C-54A,Alaska Airlines,NC-91009
Douglas C-54D-DC (DC-4),Military - U.S. Air Force,42-72572
Douglas C-47-DK,Military - U.S. Air Force,44-76366
Short  S-29 Stirling V,Air Transport,OO-XAC
Douglas DC-3 (C-47),Air India,VT-AUG
Douglas DC-2-172,Servicio AÃ©reo Panini,XA-GEE
Douglas DC-3D,Air France,F-BAXC
Vickers 610 Viking 1B,British European Airways,G-AHPK
Douglas DC-3,Coastal Air Lines,N60331
Douglas DC-3,Transport Comp. Algerienne de T.A.,F-BDLG
Douglas DC-3,Dominicana,HI-6
Douglas DC-3-201F,Eastern Air Lines,NC28384
Curtiss C-46,China National Aviation Corporation,
Douglas C-47B,Military - Royal Air Force,KN336
Douglas DC-3 (C-47B-DK),Airline Transport Carriers,NC36480
Avro 688 Tudor I,British South American Airways,G-AHNP
Lockheed L-649 Constellation,Eastern Air Lines,NC112A
Douglas DC-3,Det Danske Luftfartselskab,OY-DCI
Douglas C-47-DL,SocietÃ  Aerea Teseo,I-REGI
Latecoere 631,Latecoere Airlines,F-BDRD
Douglas DC-3,Commercial Airways,PI-C262
Douglas C-47A,Bruning Aviation,NC36498
Douglas C-47,Military - Brazilian Air Force,C-47-2040
Junkers Ju-52/3m,SociÃ©tÃ© de Transports AÃ©riens,F-BBYC
Douglas DC-3,Sabena,OO-AWH
Avro Anson,Loftleidir IcelandiAirlines,TF-RVL
Douglas DC-4,Delta Air Lines,NC37478
Douglas DC-4 (C-54G-1-DO),Northwest Orient Airlines,NC95422
Douglas DC-3,Cruzeiro,PP-CBX
Douglas DC-3 (C47-DL),Agencia Interamericana de Aviada,C-1002
Vickers 604 Viking 1B,Indian National Airlines,VT-CEL
Vickers Viking 1B & Soviet YAK-3 fighter,British European Airways / Military - Soviet Air Force,G-AIVP
Lockheed L-049-46 Constellation,Pan American World Airways,NC-88858
Douglas C-47,SAETA,HK-1200
Douglas DC-4-1009,Sabena,OO-CBE
de Havilland Dove 1,Skyways of London,G-AJOU
Douglas DC-3-455,Mercury Aviation,ZS-BWY
Curtiss C-46E,Slick Airways,NC59489
Douglas C-47A,Air Transport Charter,G-AJBG
Handley Page Halifax C-8,Alpha Airways,G-AKBA
de Havilland DH-89A Dragon Rapide,Hargreaves Airways,G-AIUI
Douglas DC-6,United Air Lines,NC37506
Douglas DC-3,Linea Aeropostal Venezolana,YV-C-AHI
Fiat G.212CP,Avio Linee Italiane,I-ELSA
Douglas DC-6 / RAF York MW248,Scandinavian Airlines (SAS),SE-BDA
Douglas DC-3,Aigle Azur,F-BCYP
Douglas C-47A,Aerovias Brasil,PP-AVO
Consolidated OA-10 Catalina,Cathay PacifiAirways,VR-HDT
Douglas DC-3,Rimouski Airlines,CF-FKY
Short Sandringham 2 (flying boat),ALFA,LV-AAP
Curtiss C-46D-20-CU,Civil Air Transport,XT-822
Latecoere 631 (flying boat),Air France,F-BDRC
Avro 691 Lancastrian,Onzeair,AP-ACM
Douglas C-47B,New Zealand National Airways,ZK-AOE
Douglas C-47A,Avensa,YV-C-AVN
Douglas C-47,LANSA,HK-307
Martin 202,Northwest Orient Airlines,NC93044
Douglas DC-3 (Douglas C-47A-10-DK),Sabena,OO-CBL
Douglas DC-3,Australian National Airways,VH-ANK
Short Sandringham 6 (flying boat),Norwegian Airlines,LN-IWA
Lockheed 049-46-25 Constellation,KLM Royal Dutch Airlines,PH-TEN
Lockheed 10A Electra,New Zealand National Airways,ZK-AGK
Douglas C-54A,Northwest Orient Airlines,NC88785
Boeing B-29 Superfortress,Military - U.S. Air Force,44-61999
Douglas DC-3,PacifiAlaska Air Freight,N66637
Douglas DC-3,Australian National Airways,VH-UZK
de Havilland DH-89A Dragon Rapide,Mannin Airways,G-AKOF
Douglas DC-3,Pakistan Airways,AP-ACE
Curtiss C-46,Central Air Transport,XT-538
Douglas C-47,,I-ETNA
Douglas DC-3,China National Aviation Corporation,
Douglas C-47,LANSA,C-310
Douglas DC-3,Ceskoslovenske Aerolinie,OK-WDE
Douglas C-54B-5-DO,China National Aviation Corporation,XT-104
Douglas DC-3 (C-47-DL),Iberia Airlines,EC-ABK
Douglas DC-3,Airborne Transport,N16002
