Type
Wright Flyer III
Dirigible
Vickers Viscount 812
Lockheed P-3A Orion
Vickers Viscount 754D
Boeing B-720-051B
Douglas DC-7
Piper PA-24-250 Comanche
Avro 685 York C1
H-21B
Convair CV-440
Vickers Viscount 759D
Convair CV-340-59
Douglas DC-7CF
VEB 14P
Fairchild C-119
Kaiser-Fraser C-119G
Avro Shackleton MR3
Vickers Viscount 708
Tupelov Tu-124
Boeing KC-135A / Boeing KC-135A
Vickers Viscount 768D
Douglas C-133A
Douglas C-74
Boeing Vetrol 107 II helicopter
Antonov AN-12
BAC One-Eleven 200AB
McDonnell Douglas DC-8F-54F
Curtis C-46A-20-CU
Boeing B-707-121
Piper PA-23
Beech D18S
Piper Aero Commander 560E
Beechcraft C35
Bristol Britannia 312
Vickers Viscount 785D
Sud Aviation Caravelle 3
Cessna 185
Boeing C-135B
Piper PA-24
Aero Commander 680
Curtiss C-46-CU
Lockheed 12A
Caravelle VIR
Boeing B-707-331
Piper PA-28
Beechcraft 35-B33 Debonair
Piper PA-18
Douglas C-47A-25-DK
Vickers Viscount 710C
Lockheed L-749A-79 Constellation
Hughes 269B
Beechcraft C45G
Lockheed P-3A
Beechcraft C-45H
Cessna 206
Fairchild C-123
Curtis C-46A
Cessna 182B
Cessna 180E
Beechcraft B-35
Lockheed C-130E Hercules
Tupolev TU-124
Handley Page HPR-7 Herald 211
Canadair CP-107 MK-2
Beech C-45H
Handley Page Dart Herald 207
Lockheed 1049G-55 Super Constellation
Boeing B-720-040B
Bell UH-1D / Bell UH1D (helicopters)
Boeing C-135A
Boeing B-707-321B
Fokker F-27 Friendship 200
Handley Page Hastings C Mark 1
EC-121H (Super Constellation)
de Havilland 106A
Boeing B-727-22
Vickers 804 Viscount
Lockheed KC-130F
Transportes Aéreos Orientales
Boeing B-707-121B
Douglas DC-3 / Piper PA-18A
Boeing 307 Stratoliner B-1
Vickers Vanguard 951
Boeing B-727-23
Learjet 23
Douglas C-53-DO (DC-3A)
Boeing B-707-131B / L1049C Constellation
Fairchild C-123C
Cessna 120
Beechcraft G35
Douglas DC-3 / Douglas DC-3
Douglas DC-6-54B
Boeing B-707-437
Fairchild C-123B
Beechcraft B95A
Convair CV-440-0
Boeing B-727-81
Beechcraft D35
Sud Aviation SE-210 Caravelle VIN
de Havilland 104-6A
Boeing B-707-436
Piper PA-32
Grumman G-21A
Antonov AN-24B
Cessna 172D
Boeing CH47A (helicopter)
Cessna 180
Douglas DC-8-52
Beechcraft H50
BAC One-Eleven 203AE
Douglas DC-8-51
Beech C-18S
Cessna 310C
Chance Vought F-8E
Bristol Britannia 102
Sud Aviation SE-210 Caravelle
Vickers Viscount 832
McDonnell Douglas DC-9-14
de Havilland Canada CV-2B Caribou
Bell 204B helicopter
Antonov AN-24
Cessna 205A
Lockheed EC-121H
NAMC-YS-11-111
Boeing 727-21
PBY-5A Catalina
Tupolev TU-114B
Lockheed L-1649A Starliner
Canadair CL-44D4-1
Douglas C-47A-80-DL
Beechcraft D18S
S2F-1 / HSS-2
Handley Page HPR-7 Herald 214
Cessna 210-5A
Cessna 182
Convair CV-380
AT L98 Carvair
